問題文,正解,解説
自ら光や熱を出して輝いている天体を「恒星」という。,○,
植物が根を生やすときに出てくる細かい毛を、毛根という。,×,毛根じゃなくて、根毛です。
雷は雲の中で蓄えられた静電気の放電現象である。,○,微妙なラインを突きます。
遺伝子はDNAの中に情報である。,○,あえて何もひねらず、迷わせます。
音は液体・気体には伝わるが、固体・真空には伝わらない。,×,固体にも音は伝わる
ミジンコやゾウリムシは単細胞生物である。,×,ゾウリムシは単細胞生物だが、ミジンコは多細胞生物である。
夏の気圧配置は南高北低である,○,冬の気圧配置は西高北低
植物と動物の細胞で共通しているものは、核だけである。,×,細胞壁が入ってないから〇だと思うかもしれないけど、細胞膜や細胞質、ミトコンドリアなども共通している。
タンポポは離弁花である,×,タンポポはひとつの花が沢山集まっている合弁花である。
実像は見ているものと同じ向きで見えるものである,×,逆向き。勘違いをしている人がいそう
空の9割が雲に覆われている。天気予報などではこの状態は晴れという。,×,２～8割までが晴れ
お酢は酸性である,○,酢酸といい、酸性だから
塩(えん)は酸の陽イオンとアルカリの陰イオンが結びついたものである,×,酸の陰イオンとアルカリの陽イオン
ベネジクト液はデンプンに反応し青紫色に変化する,×,ベネジクト液は糖に反応し、赤褐色に変化する
物体を秋多中の高いところから落とした時、重いものほど速く落下する,○,空気抵抗がなければ、羽と鉄球のように重さの違うものでも同時に落下するが、そういった条件下でなければ、空気抵抗などの影響もあるため、同時に落ちるとは言えない。
タカシくんは理科の授業で電流をはかる実験をした。電流計に－端子をつなぐ際、測定対象の電流値が分からなかったため一番小さい５０ｍAに－端子をさした。タカシくんの行動は正しいか正しくないか。,×,電流値が不明な場合は故障を防ぐため一番大きい５Aに－端子をさす
SDGsの達成するべき目標は、18個ある。,×,正解は17個です。復習しておきましょう。
アミラーゼはデンプンを分解することができる。,○,アミラーゼは他にも、グリコーゲンなども分解できます。
アンモニアを集めるとき、水上置換法を使わないのは、アンモニアは人体に有害だからである。,×,アンモニアは水に溶けやすいため、水上置換法は使われない。
S波とP波では、S波が伝えるゆれを初期微動という。,×,P波が伝えるゆれを初期微動といい、S波が伝えるゆれを主要動という。
水にBTB溶液を入れて緑色にし、そこに入浴剤（成分：炭酸水素ナトリウム、着色料：無）を溶かすと、炭酸ガスが発生し溶けるので、色は黄色になる。,×,炭酸水素ナトリウム水溶液は、弱いアルカリ性だから、青色である。
タカシくんは午前０時にさそり座を見たかったので６月に観測をした。タカシくんはさそり座を見ることが出来たか。（タカシくんは北半球に住んでいる）※周囲の明るさは考えないものとする,○,黄道上に見える夏の星座ですね。
地震の「規模の大きさ」を表す単位は 震度 である。,×,正解はマグニチュードです。マグニチュードは「地震そのものの規模」を表す尺度です。
太陽の黒点は、太陽の中で温度の低い場所である。,○,周囲よりも温度が低いため、暗く（黒く）見えているだけです。
酸とアルカリを混ぜた時にできる物質を塩基性化合物という,×,塩ができる　というのが答えであるため×
アンモニアは水に溶けやすいため下方置換法が適切である,×,"アンモニアの重さから,下方置換法か上方置換法か迷わせたい。答えは上方置換法である。"
霰（あられ）と霙（みぞれ）の違いは粒の大きさ,×,あられは直径5ミリ未満の氷の粒。みぞれは、雪が溶けながら落ちて来ること。
タンポポの根は主根と側根でできている,○,"タンポポは双子葉類か単子葉類か迷わせたい。意外にも記憶にない為,わかりずらい"
"日食は月が地球の影に入り隠れることで起きる現象である",×,月食が正解であるため問題文の回答は×になる。月食と日食の違いが分かりづらいため選択した
植物の花がまだ開いていない、萼（がく）や花弁に包まれた未熟な状態のことを胚という。,×,植物の場合は蕾です。
酸素の元素記号は「O」である,○,化学式なら「O ₂」
「植物の細胞」と「動物の細胞」、どちらにも「細胞壁」がある,×,「細胞膜」ならどちらにもあるが、「細胞壁」は植物だけ。
生物と生物の間では○○連鎖という、お金を借りる・借りられるの関係がある。,×,食物連鎖は食べる・食べられるの関係にあります。お金の貸し借りは、貸借関係です。
泥岩の粒の大きさは16分の1mm以下である,○,"代表的な知識ではないため,わかりずらい。"
サンヨウチュウは古生代の生き物である,○,アンモナイトと迷うかも
哺乳類は唯一の恒温動物である,×,鳥類も含まれる。意外と忘れている
星座の南中高度は季節によって変わらない,○,太陽は公転面の垂直に対して地軸が傾いているから変わるが、星座はそうではないので変わらない。星座の見える時間や、見える時期は年間を通して変わる。
シベリア気団は、おもに冬に日本へ影響をあたえる,○,季節があってるかあってないかということ
ヨウ素液はデンプンの検出に用いる。薬品である。ヨウ素液がデンプンと反応すると赤褐色になる。,×,ヨウ素液はデンプンに反応すると青紫色になる。赤褐色に反応するのは、ベネジクト液が糖(麦芽糖)に反応したとき。
実像は、実際には光が集まってはいない像である。,×,光が集まっていない像は虚像。
枝豆の食べられるところは果実である,×,食べているのは種子です。豆のほとんどが子葉になる栄養の多い部分です。
物体がもとの運動状態を保とうとする性質を慣性という,○,
視界の範囲はライオンよりシマウマの方が広い,○,ライオンは獲物を捕らえるために視界が広いと思われがち！！
火山灰はマグマが冷え切った細かい粒である,○,
元素の中で一番軽いのは水素である。,○,他の元素と迷ってほしい。
コイルの巻数が多いほど誘導電力は大きくなる,○,巻いたほうがよくない？
振動数が多いほど、音は低い,×,振動数が多いほど音は高くなる！
空気1m³中の水蒸気量 = (飽和水蒸気量 × 湿度) ÷ 100﻿,○,公式の変形は重要テクニック
化学電池をマグネシウムと銅で作るとき、マイナス極になるのは銅である。,×,イオン化傾向が銅より大きいマグネシウムがマイナス極になる。
ドライアイスのように、気体から直接個体になることを凝固という,×,〇昇華　変化の名前が多くみんな曖昧かなと思ったので入れました。
水銀は金を浮かばせるほど密度の高い液体金属であるが、水銀よりも密度の高い金属が元素周期表の同じ段に4種類以上存在している。,○,タリウム、鉛、ビスマス、ホロニウムが存在する。
食物連鎖が網のように複雑に絡み合ったのを食物糸という,×,食物網です
水溶液中にとけている物質を溶媒という,×,溶媒ではなく溶質。
電池を発明したのはボルタである,○,
細胞分裂とは、一つの細胞が三つの細胞に分かれること,×,二つ
光が空気からガラス中を進むとき、大きくなるのは入射角である。,○,
音を出しているもの（音源）は振動している。,○,
日本ではオリオン座は冬によく見える星座である,○,夏ではない
質量保存の法則を発見したのはガリレオガリレイである,×,質量保存の法則を発見したのはラボアジエです。
磁力線の間隔が狭いところほど磁界が弱い,×,
胃液は酸性である,○,胃液は強い酸性である
生態系の中で光合成をおこない有機物を作る生物の仲間を消費者という,×,生産者。
地球上で質量600㎏のものは、月面上では質量100㎏に変化する,×,質量は地球上でも月面上でも変わらず、重さ(N)は月面上だと地球上の6分の1の重さになる。
炭酸水素ナトリウムは酸性である。,×,「酸」という漢字が含まれているので迷いそうだから。
雨が降る前、気圧が低くなる,○,
振幅が大きいほど音は高い,×,振幅が大きいほど音は大きくなる。音の高さを表すのは振動数である。
塩素には、漂白作用と殺菌作用がある,○,
始祖鳥は、翼があり、尾に骨があり、羽毛に覆われているという鳥類の特徴を持っている。,×,尾に骨があるのは爬虫類の特徴。
ひろし君は理科の勉強のために「でんじろう先生のはぴエネ！」という動画を視聴しました。さて、でんじろう先生が動画の最後に「はぴエネ！」と言いながら右手を突き出します。これは、フレミングの右手の法則と言います。右手の法則は電流の向き、磁界の向き、電流と磁界から受ける力の向きをあらわしています。,×,右手の法則は存在しますが、電流、磁界、電流と磁界から受ける力の向きを表すのは左手の法則。
塩素系漂白剤と酸性タイプの洗浄剤を混ぜるのは危険である,○,有害な塩素が発生する
真空の場合は落ちる物体が重ければ重いほど落ちるスピードも速くなるわけではありませんが、机の上にある箱を押して動かそうとするとき、押す向きと同じ方向に摩擦力がかかっています。それでは、41tの羽毛か32tの鉄　重たいのは羽毛ですね。,×,摩擦力は押す方向とは逆です
石鹸水は酸性である。,×,アルカリ性。酸っぱいもの＝酸性，苦いもの＝アルカリ性
電流が流れる向きは、＋→－,○,電子は－→＋で移動しています。
ひろし君はマグネシウムのネックレスを付けて温泉に入ってしまい、ネックレスが黒ずんでしまいました。これは物質のイオン化傾向による変化です。マグネシウムは亜鉛よりもイオンになりやすいです。,○,
身長の半分の長さの鏡があれば、全身をうつすことができる。,○,
梅雨前線の原因となる気団は、小笠原気団とオホーツク海気団である。,○,
並列回路全体の抵抗の値は、それぞれの抵抗よりも小さくなる。,○,
大根の葉脈は平行脈である。,×,大根は双子葉類　平行脈は笹などの単子葉類
地球が太陽の周りをまわることを公転というが、太陽から地球までの直線を３６０°回転させたものを「公転面」という。,○,覚えてない人と多そう
植物が気孔から水蒸気を出すことを蒸留という,×,正しくは蒸散　蒸留は化学の物質の分ける方法
ホウセンカの根では、道管は外側、師管は内側にある。,×,道管は内側
マグマの粘り気が強いほど火山の噴出物は黒っぽくなる。,×,マグマの粘り気が強いほど火山の噴出物は白っぽくなるよ。
メスシリンダーは密度を図る計器である。,○,
サカバンバスピスが生息した時代は「オルドビス紀」である。,○,高橋先生を思い出せ！
古生代石炭紀は石炭が生まれた時代であるため石炭紀と呼ばれている。,○,逆を行きたい心理を
糸に重りをつるした場合、定滑車は引くのに必要な力を１／２に、動滑車は引く長さが２倍な代わりに必要な力を１／２にする,×,定滑車は変わらんよ
デンプンとたんぱく質はリンパ管、脂肪は毛細血管に吸収される,×,正　デンプン・たんぱく質→毛細血管、脂肪→リンパ管　意外と間違えやすい
根の先端には根冠と呼ばれる部分があり、細胞分裂が盛んな成長点を保護している。,○,
光合成は葉でしか行われない。,×,葉緑体があれば行われます。
染色体の数が生物の優劣を決めていて、染色体を200持つアメリカザリガニは染色体を46しか持たないヒトより高度な文明を築いている。,×,
カバーガラスよりスライドガラスの方が厚みがある。,○,カバーガラスは薄いです。割らないようにね。
ジャガイモは種子ではなく茎である。,○,
受精卵から成体になるまでの過程を発生という。,○,
白米と呼ばれるのはイネの種子から、栄養分である胚乳をけずったものである。,×,白米は種子から胚をけずった胚乳そのもの
エンドウの種子では丸が顕性形質でしわが潜性形質である。よって丸の種子としわの種子を交配させると丸の種子しか子には現れない。,×,純系の場合はそうなる。
メスシリンダーとは密度を量る計器である。,×,メスシリンダーで体積を量ります。
染色体の中にDNAがある。,○,
遺伝子は物質ではなく情報である。,○,
地球は南極側の地軸を中心に見た時、反時計回りに回っている。,×,
エタノールは有機物である。,○,燃やすと二酸化炭素と水になります。黒くならなくても有機物です。
地球は1日に一回転するため、時差の計算でも1時間を15°で計算する。,○,
木星型惑星は、地球より密度が小さい。,○,
北極星は南極では見えない。,○,
プラスチックは有機物である。,○,石油でできてます。
地球の一番近くにある天体は火星である。,×,月です。　ｂｙうさぎ
太陽の黒点は太陽の表面上で温度の高い部分である。,×,
水素であることを、確かめるためには石灰水を使う。,×,水素はマッチの火を近づけて確かめます。石灰水が白く濁るのは二酸化炭素。
望遠鏡で金星を確認したとき、大きく見える日の金星の形は三日月型である。,○,
1つの原子の中には電子と、プラスの電気を持つ陽子が同じ数含まれている。,○,
空気の中で二酸化炭素は３番目に多く含まれている。※水蒸気を含まない。,×,１位窒素　２位酸素　３位アルゴン
塩化ナトリウムはイオン同士のつながりであって、分子のような強いつながりではない。,○,
塩化銅水溶液は青色である。,○,
化学電池において、イオンになりやすい金属が−極になる。,○,
氷が液体の水に浮くことから、全ての物質で固体の方が液体より密度が小さい。,×,水だけが、液体より固体の方が密度が小さい。
炭酸は化学式に含まれる水素の数が多いので塩酸より強い酸である。,×,
一直線上にない２力の合力では、その２力の角度が大きいほど合力は小さくなる。,○,
塩酸は、塩化水素という気体が水に溶けた水溶液である。,○,二酸化炭素が溶けた水が炭酸のように、塩化水素が溶けた水を塩酸と呼びます。
同じ高さから斜面上でボールを転がしたとき、傾斜角に関わらず最高速度は等しくなる。,○,
飽和水溶液の質量パーセント濃度は100％である。,×,飽和とは、これ以上溶けることのできない状態であり、濃度が100％とは限らない。
同じ物体を同じ高さから持ち上げる仕事において、動滑車を使うと仕事の量は半分になる。,×,力が小さくなるが、その分動かす距離は大きくなる。
時間あたりの仕事量はＪ（ジュール）で表される。,×,時間あたりは、仕事率になるためW(ワット)
力学的エネルギーは、運動エネルギーから位置エネルギーを引いたものである。,×,
放射線にはイオンを原子にする性質がある。,×,
生態系における分解者の役割は、生物の遺骸などの有機物を無機物に変えることである。,○,
100gの砂糖水の中に25gの砂糖が溶けています。質量パーセント濃度は25％である。,○,砂糖水の中に25g溶けてます。
大きな地震が襲ってきたとき、最優先は安全の確保であり、料理などで火を使っていても頭を守るなどを優先して行い、安全確保の後に火を消す。,○,
日本では、東の空の天気がしばらくした後の天気になりやすい。,×,
電流計や電圧計の＋極と−極を間違えて操作すると針が一(マイナス)方向に振れる。,○,
奈幡のメガネは遠視用のため、凸レンズである。つまり眼鏡をかけていた方が目が大きく見られる。ここからは問題とは関係ないが、学生時代、目が大きく見えるため眼鏡をかけている方がモテると思っていた。,○,すごくモテませんでした。
電流の向きは＋極から−極である。,○,
理科のグラフでは、数値から規則性を見つけることが大事なので、折れ線グラフは書かない。,○,規則性を見出すのが科学の醍醐味！
酸化が起こる時、同時に還元も必ず起こる。,×,
周期表では性質の似た原子が縦に並んでいる。,○,
酸素12gと化合する銅は60gで、マグネシウムは18gである。,×,
凸レンズの厚さを厚くすると、焦点距離は長くなる。,×,屈折角が大きくなるため、凸レンズが厚くなると焦点距離は短くなります。
燃えることもさびることも、酸素がかかわる酸化である。,○,
消化液のすい液には2種類の消化酵素が含まれる。,×,主な酵素は３種類　アミラーゼ　トリプシン　リパーゼ
金属の共通の性質には熱が伝わりやすい性質がある。,○,ゆえに、フライパンは金属。金のネックレスで日光浴はするべからず！
小腸でモノグリセリドは柔毛の中のリンパ管に吸収される。,○,
イモリ・ヤモリ・タモリ（人）の共通する特徴は陸上で生活していること。、,×,イモリは両生類
ミジンコは多細胞生物である。、,○,
雲は水蒸気でできている。,×,水蒸気は水の気体で目に見えない。雲は水滴(液体)
風は地表付近では、低気圧から高気圧に向かって風が吹く。,×,
空気は圧縮すると温度が上がる。,○,
◎の天気記号は晴れである。,×,
硫黄の元素記号は「Ｓ」,○,硫酸、硫化鉄、みんな硫黄が含まれる化合物
ガスバーナーの炎は、内側の色の濃い炎が温度が高い。,×,内側の炎は酸素が足りていない炎。


